candidate_id,event_name,proposed_date,final_verified_date,venue,category,source_tier,primary_source_url,secondary_sources,source_access_date,ticket_status,price,age_restriction,existing_or_new,final_decision,reason,implementation_commit,next_monitoring_action
AUG-6D-01,"Beat The Heat DXB S5: Al Shami",2026-08-08,2026-08-08,"DWTC Hall 8","concert","T1","https://dubai.platinumlist.net/event-tickets/107005","few.ae; mid-east.info",2026-08-04,"ticketed","AED 105","14+","new","IMPLEMENTED","T1 Platinumlist — event-specific page confirmed date and price","5d84750","None"
AUG-6D-02,"Lucky Ali",2026-08-16,2026-08-16,"Coca-Cola Arena","concert","T1","https://dubai.platinumlist.net/event-tickets/106820","visitdubai.com",2026-08-04,"ticketed","AED 125","all ages","new","IMPLEMENTED","T1 Platinumlist — event-specific page","5d84750","None"
AUG-6D-03,"Sunil Grover comedy",2026-08-21,2026-08-21,"Coca-Cola Arena","comedy","T1","https://dubai.platinumlist.net/event-tickets/106932","whatson.ae",2026-08-04,"ticketed","AED 125","all ages","new","IMPLEMENTED","T1 Platinumlist — event-specific page","5d84750","None"
AUG-6D-04,"Jimmy Carr 'Laughs Funny'",2026-08-29,2026-08-29,"Dubai Opera","comedy","T1","https://dubai.platinumlist.net/event-tickets/107120","dubaiopera.com",2026-08-04,"ticketed","AED 250","16+","new","IMPLEMENTED","T1 Platinumlist + Dubai Opera official — 2 nights confirmed","5d84750","None"
AUG-6D-05,"Beat The Heat DXB S5: Marwan Moussa & Hleem",2026-08-15,2026-08-15,"DWTC Hall 8","concert","T1","https://dubai.platinumlist.net/event-tickets/107147","few.ae",2026-08-05,"ticketed","AED 105","14+","new","IMPLEMENTED","T1 Platinumlist — event-specific page. Note: artist spelled 'Hleem' not 'Haleem' per T1.","5b19741","None"
AUG-6D-06,"Beat The Heat DXB S5 Finale: Lege-cy / Aziz Maraka / Big Sam",2026-08-22,2026-08-22,"DWTC Hall 8","concert","T1","https://dubai.platinumlist.net/event-tickets/107435","few.ae",2026-08-05,"ticketed","AED 105","all ages","new","IMPLEMENTED","T1 Platinumlist — event-specific page","5b19741","None"
AUG-6D-07,"A Night of Love & Tears: Ramy Gamal & Wael Jassar",2026-08-08,2026-08-08,"Sheikh Rashid Hall DWTC","concert","T1","https://dubai.platinumlist.net/event-tickets/107086","whatson.ae",2026-08-05,"ticketed","AED 195","8+","new","IMPLEMENTED","T1 Platinumlist — event-specific page","5b19741","None"
NOV-6D-01,"UAE Flag Day 2026",2026-11-03,2026-11-03,"UAE-wide","public_holiday","T1","https://u.ae/en/information-and-services/public-holidays-and-religious-affairs/public-holidays","Cabinet Resolution No. 27/2024",2026-08-04,"free","free","all ages","new","IMPLEMENTED","T1 UAE Government Portal — official public holiday","5d84750","None"
NOV-6D-02,"Diwali 2026",2026-11-08,2026-11-08,"UAE-wide","cultural","T2","https://holidayscalendar.com/","Multiple Hindu calendar sources",2026-08-04,"free","free","all ages","new","IMPLEMENTED","T2 Hindu lunisolar calendar — date is astronomically calculated; marked confidence=expected per project policy","5d84750","Recheck from late October for official confirmation"
DEC-6D-01,"NYE Burj Khalifa Fireworks 2026/2027",2026-12-31,2026-12-31,"Burj Khalifa / Downtown Dubai","cultural","T1 (annual recurring)","https://www.visitdubai.com/en/festivals-and-events/new-years-eve","Dubai Media Office; Emaar",2026-08-04,"free (viewing)","free","all ages","new","IMPLEMENTED","Annual confirmed event — Visit Dubai + Emaar. Specific 2026 program not yet announced but event type is certain.","5d84750","Recheck from November for 2026 program details and update brief"
SEP-NEW-01,"ATB with Solarstone and Steve Allen — The Agenda",2026-09-05,2026-09-05,"The Agenda Dubai Media City","concert","T1","https://dubai.platinumlist.net/event-tickets/atb-legends-of-trance","The Agenda official",2026-08-06,"ticketed","AED 150+","21+","existing","EXISTING-CONFIRMED","Already in DB as SEP-NEW-01 before Phase 6D. Verified present.","pre-6D","None"
SEP-10-OAKENFOLD,"Paul Oakenfold — The Agenda",2026-09-18,2026-09-18,"The Agenda Dubai Media City","concert","T1","https://www.theagenda.ae/","Platinumlist",2026-08-06,"ticketed","AED 150+","21+","existing","EXISTING-CONFIRMED","Already in DB as SEP-10-OAKENFOLD before Phase 6D.","pre-6D","None"
SEP-TPIMEA,"TPiMEA Awards 2026",2026-09-10,2026-09-10,"Coca-Cola Arena","industry-awards","T1","CCA venue listing","TPiMEA official",2026-08-06,"invitation-only","N/A","industry professionals","new","OUT-OF-SCOPE","Professional B2B industry awards (The Production and Live Experience Middle East & Africa). Not a public-facing entertainment event. Correctly excluded from general calendar.","not-added","None required"
SEP-BALQEES,"Balqees",2026-09-15,unverified,"Coca-Cola Arena","concert","T2/T3 only","no T1 found","Songkick; Bandsintown; aggregators",2026-08-06,"unknown","unknown","unknown","new","HOLD","No T1 event-specific source. Platinumlist CCA venue listing shows no Sep 15 event. D1 bar not met.","not-added","Recheck Platinumlist CCA venue listing and CCA official from September 1 onward"
SEP-6D-01,"Mina Nader — comedy at Dubai Opera",2026-09-05,2026-09-05,"Dubai Opera","comedy","T1","https://www.dubaiopera.com/ar/events/comedy/mina-nader","Platinumlist event/106978",2026-08-05,"ticketed","~AED 200","16+","new","IMPLEMENTED","T1 Dubai Opera official + T1 Platinumlist event-specific page — both confirm Sep 5","5b19741","None"
SEP-6D-02,"Sumukhi Suresh Live in Dubai",2026-09-26,2026-09-26,"Emirates Theatre — Mall of the Emirates","comedy","T1","https://dubai.platinumlist.net/event-tickets/106978/sumukhi-suresh-live-in-dubai","Sublime Entertainment",2026-08-05,"ticketed","AED 100+","14+","new","IMPLEMENTED","T1 Platinumlist — event-specific page confirms Sep 26 at Emirates Theatre","5b19741","None"
SEP-6D-03,"Radhika Das: Lightfall — UAE debut",2026-09-20,2026-09-20,"Coca-Cola Arena","concert","T1","https://dubai.platinumlist.net/event-tickets/radhika-das-lightfall","CCA venue listing",2026-08-05,"ticketed","AED 150-450","all ages","new","IMPLEMENTED","T1 Platinumlist — confirmed. Devotional world music event. Cross-cultural audience.","5b19741","None"
SEP-NEW-DEKA,"DEKA FIT Dubai 2026",2026-09-26,2026-09-26,"Coca-Cola Arena","sports","T1","https://www.visitdubai.com/en/festivals-and-events/dubai-events-calendar/deka-fit-dubai-2026","DEKA official; Platinumlist",2026-08-06,"ticketed","AED 340-440","all ages","new","IMPLEMENTED","T1 Visit Dubai — official event page with confirmed date and details","8bb1e52","None"
SEP-09-AGUILERA,"Christina Aguilera — Etihad Arena Abu Dhabi",2026-09-25,2026-09-25,"Etihad Arena Yas Island Abu Dhabi","concert","T1","https://www.etihadarena.ae/","Platinumlist; visitabudhabi.ae",2026-08-06,"ticketed","AED 200+","all ages","existing","EXISTING-CONFIRMED","Already in DB as SEP-09-AGUILERA. Etihad Arena Abu Dhabi (not Dubai) — included because UAE-scope calendar covers Abu Dhabi major events.","pre-6D","None"
SEP-R1,"The Corrs — Etihad Arena Abu Dhabi",2026-09-27,2026-09-27,"Etihad Arena Yas Island Abu Dhabi","concert","T1","https://www.etihadarena.ae/","Platinumlist",2026-08-06,"ticketed","AED 200+","all ages","existing","EXISTING-CONFIRMED","Already in DB as SEP-R1.","pre-6D","None"
OCT-06-MARX,"Richard Marx — Coca-Cola Arena",2026-10-05 (WRONG),2026-10-03,"Coca-Cola Arena","concert","T1","https://coca-cola-arena.com/music/1837/richard-marx","Platinumlist; Visit Dubai; Gulf News; FACT Dubai",2026-08-05,"ticketed","~AED 200+","children <16 need adult 18+","existing","UPDATED (P0 date fix)","P0 DEFECT: DB stored Oct 5 but all T1 sources confirm Oct 3. Fixed in Batch-02. Note: Platinumlist event/105069 URL returns 404 but date confirmed via CCA official + Visit Dubai + Gulf News.","5b19741","None — confirmed Oct 3"
OCT-6D-01,"Najwa Karam — Coca-Cola Arena",2026-10-02,2026-10-02,"Coca-Cola Arena","concert","T1","https://dubai.platinumlist.net/event-tickets/najwa-karam","CCA venue listing; whatson.ae",2026-08-05,"ticketed","AED 150+","all ages","new","IMPLEMENTED","T1 Platinumlist — event-specific page confirmed date","5b19741","None"
OCT-6D-02,"Shawn Chidiac: Laughing in Translation Remix",2026-10-05,2026-10-05,"Coca-Cola Arena","comedy","T1","https://dubai.platinumlist.net/event-tickets/shawn-chidiac","CCA venue listing",2026-08-05,"ticketed","AED 199","all ages","new","IMPLEMENTED","T1 Platinumlist — confirmed Oct 5. Different venue from OCT-NEW-01 (Dubai Opera Oct 5) — no conflict.","5b19741","None"
OCT-6D-03,"TJ Monterde & KZ Tandingan — In Between Middle East Tour",2026-10-11,2026-10-11,"Coca-Cola Arena","concert","T1","https://dubai.platinumlist.net/event-tickets/tj-monterde-kz-tandingan","CCA venue listing; whatson.ae",2026-08-05,"ticketed","AED 199+","all ages","new","IMPLEMENTED","T1 Platinumlist — event-specific page confirmed date. Filipino OPM artists popular with Filipino expat community in UAE.","5b19741","None"
OCT-6D-04,"Vir Das — Dubai Comedy Festival 2026",2026-10-18,2026-10-18,"Coca-Cola Arena","comedy","T1","https://dubai.platinumlist.net/event-tickets/vir-das-dubai-comedy-festival","CCA venue listing; Visit Dubai",2026-08-05,"ticketed","AED 195","all ages","new","IMPLEMENTED","T1 Platinumlist — event-specific page confirmed Oct 18 as part of Dubai Comedy Festival","5b19741","None"
OCT-6D-05,"Lost Frequencies Season Opening Party — FIVE Palm Jumeirah",2026-10-03,2026-10-03,"Bohemia Beach Club — FIVE Palm Jumeirah","concert","T1","https://www.visitdubai.com/en/festivals-and-events/dubai-events-calendar/lost-frequencies","What's On; FIVE Palm official",2026-08-05,"ticketed","AED 150-200 (includes 1 drink)","21+","new","IMPLEMENTED","T1 Visit Dubai — official listing. Beach club DJ set. Age 21+.","5b19741","None"
OCT-R1,"Elrow Dubai 2026 Nowmads Festival",2026-10-24,2026-10-24,"Dubai Media City Amphitheatre","concert","T1","https://dubai.platinumlist.net/event-tickets/elrow-dubai","Platinumlist; visitdubai.com",2026-08-06,"ticketed","AED 150+","21+","existing","EXISTING-CONFIRMED","Already in DB as OCT-R1 before Phase 6D.","pre-6D","None"
OCT-R2,"Boris Grebenshikov (BG+) — The Agenda",2026-10-24 (WRONG),2026-10-29,"The Agenda Dubai Media City","concert","T1","https://www.theagenda.ae/","Platinumlist; karlobag.eu (shows Oct 24 — less reliable)",2026-08-06,"ticketed","AED 300+","21+","existing","UPDATED (date fix)","Date corrected 2026-10-24 → 2026-10-29 per T1 The Agenda official website. Third-party karlobag.eu showed Oct 24 — less reliable. The Agenda official is T1.","8bb1e52","None — confirmed Oct 29"
OCT-NEW-01,"God Save The Queen — Ultimate Queen Tribute",2026-10-05,2026-10-05,"Dubai Opera","concert","T1","https://www.dubaiopera.com/","Platinumlist",2026-08-06,"ticketed","AED 200+","all ages","existing","EXISTING-CONFIRMED","Already in DB as OCT-NEW-01 before Phase 6D.","pre-6D","None"
OCT-NEW-02,"Sonny Fodera — Bohemia Beach Club FIVE LUXE JBR",2026-10-10,2026-10-10,"FIVE LUXE JBR","concert","T1","https://dubai.platinumlist.net/event-tickets/sonny-fodera","Platinumlist",2026-08-06,"ticketed","AED 200+","21+","existing","EXISTING-CONFIRMED","Already in DB as OCT-NEW-02.","pre-6D","None"
OCT-NEW-03,"Blue 25th Anniversary Tour — Dubai Millennium Amphitheatre",2026-10-25,2026-10-25,"Dubai Millennium Amphitheatre Expo City","concert","T1","https://dubai.platinumlist.net/event-tickets/blue-25th-anniversary","Platinumlist; visitdubai.com",2026-08-06,"ticketed","AED 200+","all ages","existing","EXISTING-CONFIRMED","Already in DB as OCT-NEW-03.","pre-6D","None"
OCT-NEW-04,"Russell Peters — Etihad Arena Abu Dhabi",2026-10-25,2026-10-25,"Etihad Arena Yas Island Abu Dhabi","comedy","T1","https://www.etihadarena.ae/","Platinumlist",2026-08-06,"ticketed","AED 200+","all ages","existing","EXISTING-CONFIRMED","Already in DB as OCT-NEW-04. Abu Dhabi venue noted.","pre-6D","None"
OCT-NEW-05,"Riverdance 30th Anniversary — Etihad Arena Abu Dhabi",2026-10-31,2026-10-31,"Etihad Arena Yas Island Abu Dhabi","concert","T1","https://www.etihadarena.ae/","Platinumlist",2026-08-06,"ticketed","AED 200+","all ages","existing","EXISTING-CONFIRMED","Already in DB as OCT-NEW-05. Abu Dhabi venue noted.","pre-6D","None"
OCT-05-MIDTERM,"UAE School Mid-Term Break",2026-10-12,2026-10-18,"UAE-wide","seasonal","T1","https://u.ae/","Ministry of Education annual calendar",2026-08-06,"N/A","free","all ages","existing","EXISTING-CONFIRMED","Already in DB as OCT-05-MIDTERM. Schools reopen Oct 19.","pre-6D","None"
OCT-DFC,"Dubai Fitness Challenge 2026 opens",2026-10-31,2026-10-31,"Citywide Dubai","sports","T1","https://www.dubaifitnesschallenge.com/en/","DFC official; Dubai DET",2026-08-05,"free","free","all ages","existing","EXISTING-CONFIRMED","Oct 31 start confirmed against DFC official. DB entry correct. Runs Oct 31-Nov 29. Conflicting Twinkl source (Oct 26-Nov 26) is non-authoritative.","pre-6D","None"
OCT-NEW-DHF,"Dubai Home Festival 2026",2026-10-16,2026-11-01,"Citywide Dubai retail","shopping","T1","https://www.visitdubai.com/en/festivals-and-events/dhf","Dubai DET; participating retailers",2026-08-06,"free (retail event)","free entry","all ages","new","IMPLEMENTED","T1 Visit Dubai — confirmed date range Oct 16-Nov 1 with up to 75% retail discounts","8bb1e52","None"
OCT-NEW-MARILYNE,"Marilyne Naaman — Dubai Opera",2026-10-06,2026-10-06,"Dubai Opera","concert","T1","https://dubai.platinumlist.net/event-tickets/marilyn-naaman-at-dubai-opera","Dubai Opera official; Platinumlist",2026-08-06,"ticketed","AED 295+","all ages","new","IMPLEMENTED","T1 Dubai Opera official + T1 Platinumlist — both confirm Oct 6. Lebanese singer, contemporary Arabic music.","8bb1e52","None"
OCT-NEW-MUNAWAR,"Munawar Faruqui — Dubai Comedy Festival",2026-10-11,2026-10-11,"Dubai Opera","comedy","T1","https://dubai.platinumlist.net/event-tickets/106537/munawar-faruqui-live-at-dubai-comedy-festival","Visit Dubai; Dubai Comedy Festival",2026-08-06,"ticketed","AED 125+","all ages","new","IMPLEMENTED","T1 Platinumlist event/106537 — event-specific page confirms Oct 11 at Dubai Opera. Part of Dubai Comedy Festival (Oct 9-18).","8bb1e52","None"
OCT-NEW-GILLIGAN,"Mo Gilligan 'The Mo You Know' Tour — Dubai Opera",2026-10-12,2026-10-12,"Dubai Opera","comedy","T1","https://www.dubaiopera.com/en/events/comedy/mo-gilligan-live-at-dubai-comedy-festival","Platinumlist; What's On",2026-08-06,"ticketed","AED 250+","16+","new","IMPLEMENTED","T1 Dubai Opera official — event page confirms Oct 12. British comedian. Part of Dubai Comedy Festival.","8bb1e52","None"
OCT-NEW-ACHKAR,"John Achkar 'Feena Nehke' — Dubai Opera",2026-10-17,2026-10-17,"Dubai Opera","comedy","T1","https://www.visitdubai.com/en/festivals-and-events/dubai-events-calendar/john-achkar-dcf","Dubai Opera official; Dubai Comedy Festival",2026-08-06,"ticketed","AED 185-415","13+","new","IMPLEMENTED","T1 Visit Dubai + Dubai Opera official — confirm Oct 17. Lebanese comedian. Arabic-language show. Part of Dubai Comedy Festival.","8bb1e52","None"
OCT-NEW-GIPSY,"Gipsy Kings Symphonic by André Reyes — Dubai Opera",2026-10-22,2026-10-22,"Dubai Opera","concert","T1","https://www.dubaiopera.com/en-US/product-details?ID=a2b31b4d-45ae-f011-bbd3-002248d321c0","Platinumlist; Gulf News",2026-08-06,"ticketed","AED 395+","all ages","new","IMPLEMENTED","T1 Dubai Opera official product page + Platinumlist — confirm Oct 22. Symphonic performance with UAE Philharmonic Orchestra.","8bb1e52","None"
OCT-NEW-MELADZE,"Valery Meladze — The Agenda Dubai",2026-10-25,2026-10-25,"The Agenda Dubai Media City","concert","T1","https://dubai.platinumlist.net/event-tickets/92918/meladze-live-at-the-agenda-dubai","The Agenda official",2026-08-06,"ticketed","AED 300+","21+","new","IMPLEMENTED","T1 Platinumlist event/92918 + The Agenda official — confirm Oct 25. Russian pop star. 21+ per venue policy.","8bb1e52","None"
