event_id,month,start_date,end_date,title_en,title_ru,venue,emirate,category,source_tier,primary_source_url,source_access_date,status,price,age_restriction,cta_type,detail_url,implementation_commit
AUG-6D-01,August,2026-08-08,2026-08-08,"Beat The Heat DXB Season 5: Al Shami — DWTC Hall 8","Beat The Heat DXB S5: Аль Шами — DWTC Hall 8","Dubai World Trade Centre Hall 8","Dubai","concert","T1","https://dubai.platinumlist.net/event-tickets/107005/beat-the-heat-dxb-season-5-ft-al-shami-live-at-dwtc",2026-08-04,IMPLEMENTED,"AED 105","14+","ticket","none","5d84750"
AUG-6D-02,August,2026-08-16,2026-08-16,"Lucky Ali live at Coca-Cola Arena","Лаки Али в Coca-Cola Arena","Coca-Cola Arena","Dubai","concert","T1","https://dubai.platinumlist.net/event-tickets/106820/lucky-ali-live",2026-08-04,IMPLEMENTED,"AED 125","all","ticket","none","5d84750"
AUG-6D-03,August,2026-08-21,2026-08-21,"Sunil Grover comedy at Coca-Cola Arena","Сунил Гровер — стендап в Coca-Cola Arena","Coca-Cola Arena","Dubai","comedy","T1","https://dubai.platinumlist.net/event-tickets/106932/sunil-grover-live",2026-08-04,IMPLEMENTED,"AED 125","all","ticket","none","5d84750"
AUG-6D-04,August,2026-08-29,2026-08-30,"Jimmy Carr 'Laughs Funny' at Dubai Opera","Jimmy Carr 'Laughs Funny' в Dubai Opera","Dubai Opera","Dubai","comedy","T1","https://dubai.platinumlist.net/event-tickets/107120/jimmy-carr-laughs-funny",2026-08-04,IMPLEMENTED,"AED 250","16+","ticket","none","5d84750"
AUG-6D-05,August,2026-08-15,2026-08-15,"Beat The Heat DXB S5: Marwan Moussa & Hleem — DWTC Hall 8","Beat The Heat DXB S5: Марван Мусса и Хлим — DWTC Hall 8","Dubai World Trade Centre Hall 8","Dubai","concert","T1","https://dubai.platinumlist.net/event-tickets/107147/beat-the-heat-dxb-season-5-ft-marwan-moussa-hleem-live-at-dwtc",2026-08-05,IMPLEMENTED,"AED 105","14+","ticket","none","5b19741"
AUG-6D-06,August,2026-08-22,2026-08-22,"Beat The Heat DXB S5 Finale: Lege-cy / Aziz Maraka / Big Sam — DWTC Hall 8","Beat The Heat DXB S5 Финал — DWTC Hall 8","Dubai World Trade Centre Hall 8","Dubai","concert","T1","https://dubai.platinumlist.net/event-tickets/107435/beat-the-heat-dxb-season-5",2026-08-05,IMPLEMENTED,"AED 105","all","ticket","none","5b19741"
AUG-6D-07,August,2026-08-08,2026-08-08,"A Night of Love & Tears: Ramy Gamal & Wael Jassar — Sheikh Rashid Hall DWTC","Ночь любви и слёз: Рами Гамаль и Ваэль Яссар — Sheikh Rashid Hall DWTC","Sheikh Rashid Hall, Dubai World Trade Centre","Dubai","concert","T1","https://dubai.platinumlist.net/event-tickets/107086/a-night-of-love-tears",2026-08-05,IMPLEMENTED,"AED 195","8+","ticket","none","5b19741"
NOV-6D-01,November,2026-11-03,2026-11-03,"UAE Flag Day 2026","День флага ОАЭ 2026","UAE-wide","UAE-wide","public_holiday","T1","https://u.ae/en/information-and-services/public-holidays-and-religious-affairs/public-holidays",2026-08-04,IMPLEMENTED,"free","all","open_source","none","5d84750"
NOV-6D-02,November,2026-11-08,2026-11-08,"Diwali 2026","Дивали 2026","UAE-wide","UAE-wide","cultural","T2","https://holidayscalendar.com/",2026-08-04,IMPLEMENTED,"free","all","open_source","none","5d84750"
DEC-6D-01,December,2026-12-31,2026-12-31,"NYE Burj Khalifa Fireworks 2026/2027","Новый год у Бурдж-Халифа — фейерверк 2026/2027","Burj Khalifa / Downtown Dubai","Dubai","cultural","T1 (annual recurring)","https://www.visitdubai.com/en/festivals-and-events/new-years-eve",2026-08-04,IMPLEMENTED,"free (viewing)","all","open_source","none","5d84750"
